부위,운동명
어깨,스탠딩 덤벨 숄더 프레스
어깨,플레이트 오버헤드 프레스
어깨,원 암 숄더 프레스 머신
어깨,원 암 펙 덱 리어 델트
어깨,이지바 업라이트 로우
어깨,스미스 머신 업라이트 로우
어깨,스미스 머신 벤트 오버 로우
삼두,바벨 트라이셉스 익스텐션
삼두,케이블 트라이셉스 푸쉬다운
삼두,원 암 덤벨 킥백
삼두,덤벨 트라이셉스 익스텐션
삼두,원 암 덤벨 트라이셉스 익스텐션
삼두,벤치 딥스
삼두,원 암 케이블 킥백
삼두,오버헤드 케이블 트라이셉스 익스텐션(일어서기)
삼두,라잉 트라이셉스 익스텐션(스컬 크러셔)
삼두,딥스 머신
삼두,클로즈 그립 벤치 프레스
삼두,원 암 케이블 트라이셉스 익스텐션
삼두,오버헤드 케이블 트라이셉스 익스텐션(구부리기)
삼두,트라이셉스 푸쉬다운 머신
삼두,라잉 덤벨 트라이셉스 익스텐션
삼두,플로어 트라이셉스 딥스
삼두,원 암 케티블 트라이셉스 푸쉬다운
삼두,케이블 로프 트라이셉스 익스텐션
삼두,트라이셉스 익스텐션 머신
삼두,체어 딥스
삼두,오버헤드 덤벨 트라이셉스 익스텐션
삼두,밴드 트라이셉스 푸쉬다운
삼두,인클라인 바벨 트라이셉스 익스텐션
삼두,인클라인 이지바 트라이셉스 익스텐션
삼두,인클라인 덤벨 트라이셉스 익스텐션
삼두,덤벨 킥백
삼두,오버헤드 트라이셉스 익스텐션 머신
삼두,케이블 리버스 푸쉬다운
삼두,디클라인 클로즈 그립 스미스 벤치 프레스
이두,바벨 컬
이두,케이블 컬
이두,친 업
이두,덤벨 프리쳐 컬
이두,덤벨 컬
이두,이지바 컬
이두,덤벨 해머 컬
이두,컨센트레이션 컬
이두,프리쳐 컬 머신
이두,케이블 해머 컬
이두,밴드 해머 컬
이두,바벨 프리쳐 컬
이두,덤벨 리버스 컬
이두,바벨 리버스 컬
이두,오버헤드 케이블 컬
이두,이지바 프리쳐 컬
이두,인클라인 덤벨 컬
이두,인클라인 덤벨 해머 컬
이두,인클라인 덤벨 리버스 컬
이두,케이블 리버스 컬
이두,이지바 리버스 컬
이두,케이블 프리쳐 컬
이두,인클라인 바벨 리버스 컬
이두,원 암 케이블 컬
이두,암 컬 머신
이두,시티드 덤벨 드래그 컬
이두,덤벨 드래그 컬
이두,이지바 드래그 컬
이두,케이블 드래그 컬
이두,바벨 드래그 컬
이두,원 암 덤벨 프리쳐 컬
이두,원 암 프리쳐 컬 머신
이두,디클라인 덤벨 컬
이두,덤벨 시티드 해머컬
복근,레그 레이즈
복근,크런치
복근,케이블 크런치
복근,캡틴스 체어 레그 레이즈
복근,행잉 레그 레이즈
복근,바이시클 크런치
복근,디클라인 크런치
복근,덤벨 사이드 밴드
복근,플랭크(시간)
복근,브이 업
복근,AB슬라이드
복근,클로스 바디 크런치
복근,크런치 머신
복근,니 투 엘보
복근,러시안 트위스트
복근,케이블 사이드 밴드
복근,사이드 플랭크(시간)
복근,싯 업
복근,케틀벨 스윙
복근,드래곤 플래그
복근,사이드 레그 레이즈
복근,플랭크 푸쉬업
복근,로테이션 푸쉬업
복근,로테이션 플랭크
복근,스파이더맨 푸쉬업
복근,암 앤 레그 리프트
복근,사이드 니업
복근,머슬업
복근,원 암 케틀벨 스내치
복근,케틀벨 행 클린
복근,인클라인 레그 레이즈
복근,원 암 케틀벨 스윙
복근,슈퍼맨
복근,물구나무 서기
복근,버드 독
전완근,덤벨 리스트 컬
전완근,바벨 리스트 컬
전완근,리스트 롤러
전완근,리버스 바벨 리스트 컬
전완근,리버스 덤벨 리스트 컬
전완근,플레이트 컬
전완근,덤벨 비하인드 백 컬
전완근,케이블 리스트 컬
전완근,조트맨 컬
유산소,싸이클
유산소,엘립티컬 머신
유산소,트레드밀 러닝
유산소,러닝(야외)
유산소,버피
유산소,점핑 잭
유산소,줄넘기
유산소,로잉 머신
유산소,스텝 머신
유산소,인클라인 트레드밀 러닝
유산소,스텝 밀(천국의 계단)
유산소,스쿼트 버피
유산소,크리스 크로스 엘보우 투 니
유산소,터치다운
유산소,로우 런지 트위스트
유산소,사이드 킥 버피
유산소,슬로우 버피
유산소,무동력 트레드밀
유산소,좌식 싸이클
유산소,경보
유산소,걷기
유산소,벤치 스텝업
유산소,스텝업 스텝 박스
유산소,줄넘기 2단 뛰기
유산소,스텝퍼
유산소,훌라후프
유산소,사이드 마운틴 클라이머
유산소,스쿼트 오버헤드 프레스
유산소,하늘 자전거
유산소,배틀 로프
유산소,스키 에르그
유산소,에어 바이크
유산소,스텝박스 마운틴 클라이머
유산소,아크트레이너
유산소,불가리안백 스핀
유산소,스핀 바이크
